ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
100096,1984,0,0,0,0,0,0,0,0,0,0
100097,1984,0,0,0,0,0,0,0,0,0,0
100098,1984,0,0,0,0,0,0,0,0,0,0
100099,1984,0,0,0,0,0,0,0,0,0,0
100100,1984,0,0,0,0,0,0,0,0,0,0
100101,1984,0,0,0,0,0,0,0,0,0,0
100102,1984,0,0,0,0,0,0,0,0,0,0
100103,1984,0,0,0,0,0,0,0,0,0,0
100104,1984,0,0,0,0,0,0,0,0,0,0
100105,1984,8,8,8,8,8,8,8,8,8,8
100106,1984,0,0,0,0,0,0,0,0,0,0
100107,1984,0,0,0,0,0,0,0,0,0,0
100108,1984,16,16,16,16,16,16,16,16,16,16
100109,1984,0,0,0,0,0,0,0,0,0,0
100110,1984,18,18,18,18,18,18,18,18,18,18
100111,1984,0,0,0,0,0,0,0,0,0,0
100112,1984,18,18,18,18,18,18,18,18,18,18
100113,1984,0,0,0,0,0,0,0,0,0,0
100114,1984,3,3,3,3,3,3,3,3,3,3
100115,1984,19,19,19,19,19,19,19,19,19,19
100116,1984,14,17,23,0,0,0,34,11,0,2
100117,1984,0,0,0,0,0,0,0,0,0,0
100118,1984,6,6,6,6,6,6,6,6,6,6
100119,1984,0,0,0,0,0,0,0,0,0,0
110001,1984,17,17,17,17,17,17,17,17,17,17
110002,1984,25,25,25,25,25,25,25,25,25,25
110003,1984,0,0,18,0,0,9,0,0,0,0
110005,1984,0,0,0,0,0,0,0,0,0,0
110006,1984,0,0,0,0,0,0,0,0,0,0
110007,1984,0,0,0,0,0,0,0,0,0,0
110008,1984,0,0,0,0,0,0,0,0,0,0
110009,1984,0,0,0,0,0,0,0,0,0,0
110010,1984,0,0,0,18,10,0,0,0,0,0
110011,1984,11,14,0,0,20,18,0,0,15,0
110012,1984,12,12,12,12,12,12,12,12,12,12
110013,1984,0,0,0,0,0,0,0,0,0,0
110014,1984,0,0,0,0,0,0,0,0,11,0
110015,1984,0,0,0,0,0,22,0,0,0,0
110016,1984,24,24,24,24,24,24,24,24,24,24
110017,1984,19,19,19,19,19,19,19,19,19,19
110018,1984,0,0,0,0,0,0,0,0,0,0
110019,1984,0,0,0,0,0,0,0,0,0,0
110020,1984,0,0,0,0,0,0,0,0,0,0
110021,1984,0,0,0,0,0,15,0,0,0,0
110022,1984,0,0,0,0,0,0,0,0,0,0
110023,1984,17,17,17,17,17,17,17,17,17,17
110024,1984,9,9,9,9,9,9,9,9,9,9
110025,1984,23,0,0,14,0,11,0,7,0,0
110026,1984,0,0,0,0,0,0,0,0,0,0
110027,1984,0,0,24,0,0,0,0,0,0,0
110028,1984,0,0,0,0,0,0,0,0,0,0
110029,1984,21,21,21,21,21,21,21,21,21,21
110030,1984,19,19,19,19,19,19,19,19,19,19
110031,1984,10,10,10,10,10,10,10,10,10,10
110032,1984,0,0,0,0,0,0,0,0,0,0
